bank_name,type
Airtel Payments Bank,Payments Bank
AU Small Finance Bank,Small Finance Bank
Axis Bank,Private Sector
Bandhan Bank,Private Sector
Bank of Baroda,Public Sector
Bank of India,Public Sector
Bank of Maharashtra,Public Sector
Canara Bank,Public Sector
Capital Small Finance Bank,Small Finance Bank
Central Bank of India,Public Sector
City Union Bank,Private Sector
Cosmos Co-operative Bank,Co-operative
CSB Bank,Private Sector
DBS Bank India,Foreign
DCB Bank,Private Sector
Deutsche Bank,Foreign
Dhanlaxmi Bank,Private Sector
Equitas Small Finance Bank,Small Finance Bank
ESAF Small Finance Bank,Small Finance Bank
Federal Bank,Private Sector
Fino Payments Bank,Payments Bank
HDFC Bank,Private Sector
HSBC,Foreign
ICICI Bank,Private Sector
IDBI Bank,Private Sector
IDFC FIRST Bank,Private Sector
India Post Payments Bank,Payments Bank
Indian Bank,Public Sector
Indian Overseas Bank,Public Sector
IndusInd Bank,Private Sector
Jammu & Kashmir Bank,Private Sector
Jana Small Finance Bank,Small Finance Bank
Jio Payments Bank,Payments Bank
Karnataka Bank,Private Sector
Karur Vysya Bank,Private Sector
Kotak Mahindra Bank,Private Sector
Nainital Bank,Private Sector
North East Small Finance Bank,Small Finance Bank
NSDL Payments Bank,Payments Bank
Post Office,Post Office
Punjab & Sind Bank,Public Sector
Punjab National Bank,Public Sector
RBL Bank,Private Sector
Saraswat Co-operative Bank,Co-operative
SBM Bank India,Foreign
Shivalik Small Finance Bank,Small Finance Bank
Slice Small Finance Bank,Small Finance Bank
South Indian Bank,Private Sector
Standard Chartered Bank,Foreign
State Bank of India,Public Sector
Suryoday Small Finance Bank,Small Finance Bank
SVC Co-operative Bank,Co-operative
Tamilnad Mercantile Bank,Private Sector
TJSB Sahakari Bank,Co-operative
UCO Bank,Public Sector
Ujjivan Small Finance Bank,Small Finance Bank
Union Bank of India,Public Sector
Unity Small Finance Bank,Small Finance Bank
Utkarsh Small Finance Bank,Small Finance Bank
Yes Bank,Private Sector
