isin,symbol,fmv
IN9110D01011,GUJNREDVR,1.3
IN9155A01020,TATAMTRDVR,225.95
IN9175A01010,JISLDVREQS,86.35
IN9623B01058,FELDVR,42.5
INE001A01036,HDFC,1963.05
INE001B01026,KRBL,625.0
INE002A01018,RELIANCE,964.5
INE002L01015,SJVN,34.6
INE002S01010,MGL,1026.75
INE003A01024,SIEMENS,1331.3
INE005D01015,RAMSARUP,2.15
INE005I01014,AMDIND,44.0
INE006I01046,ASTRAL,814.0
INE007A01025,CRISIL,1949.45
INE007B01023,GEOJITFSL,110.9
INE008A01015,IDBI,62.1
INE008I01026,COX&KINGS,262.95
INE009A01021,INFY,1166.6
INE010A01011,PRISMCEM,142.7
INE010B01027,CADILAHC,430.4
INE010J01012,TEJASNET,394.6
INE010V01017,LTTS,1289.0
INE011H01014,RAJVIR,47.55
INE012A01025,ACC,1737.9
INE013A01015,RELCAPITAL,510.4
INE015D01022,MANAKSIA,69.1
INE016A01026,DABUR,360.8
INE016M01021,DNAMEDIA,9.45
INE017A01032,GESHIP,408.7
INE017D01010,ANGIND,6.0
INE018A01030,LT,1439.7
INE018I01017,MINDTREE,779.15
INE019A01038,JSWSTEEL,294.0
INE019C01026,HSCL,181.95
INE019J01013,SASTASUNDR,118.0
INE020B01018,RECLTD,157.55
INE020G01017,AFL,59.7
INE020J01029,GOKUL,21.3
INE021A01026,ASIANPAINT,1139.8
INE022B01014,MUKANDENGG,51.65
INE022C01012,EUROTEXIND,37.95
INE022I01019,ASIANTILES,562.5
INE022Q01012,IEX,1610.0
INE023A01030,NSIL,1348.0
INE023H01027,NECLIFE,33.55
INE023M01027,PRAKASHCON,7.4
INE024L01027,GRAVITA,176.45
INE025A01027,CONSOFINVT,80.45
INE025B01017,GOLDIAM,79.45
INE026A01025,GSFC,146.5
INE027A01015,RCF,98.75
INE028A01039,BANKBARODA,161.8
INE028B01029,SHARONBIO,6.95
INE028D01025,RAINBOWPAP,3.5
INE029A01011,BPCL,493.6
INE029L01018,KICL,2442.6
INE030A01027,HINDUNILVR,1400.0
INE031A01017,HUDCO,82.65
INE031B01049,AJANTPHARM,1460.8
INE032A01023,BOMDYEING,237.7
INE032B01021,PRIMESECU,50.6
INE034A01011,ARVIND,429.85
INE034D01031,PTL,56.5
INE034H01016,SORILINFRA,263.95
INE034S01021,ARVSMART,202.3
INE035D01012,SOTL,1439.45
INE036A01016,RELINFRA,512.75
INE036B01022,GAEL,245.0
INE036D01028,KARURVYSYA,111.8
INE037A01022,UNIENTER,96.2
INE038A01020,HINDALCO,263.2
INE038F01029,TVTODAY,461.7
INE039A01010,IFCI,29.1
INE039B01026,CINEVISTA,12.15
INE039C01032,JAMNAAUTO,76.2
INE040A01026,HDFCBANK,2013.5
INE040D01038,MAYURUNIQ,504.95
INE040H01021,SUZLON,14.8
INE040M01013,TREEHOUSE,14.15
INE041A01016,DHAMPURSUG,192.3
INE042A01014,ESCORTS,842.0
INE043A01012,GTL,14.85
INE043C01018,IVP,193.0
INE043D01016,IDFC,57.2
INE043K01029,BSLIMITED,1.4
INE044A01036,SUNPHARMA,594.9
INE045A01017,ADORWELD,524.9
INE045B01015,NELCO,124.45
INE045J01026,FCL,68.9
INE046A01015,RIIL,572.0
INE047A01021,GRASIM,1167.95
INE047B01011,GILLANDERS,77.0
INE047O01014,NIBL,29.0
INE048B01027,JAGSNPHARM,35.8
INE048C01017,VICEROY,18.15
INE048G01026,NAVINFLUOR,820.0
INE049A01027,HIMATSEIDE,364.65
INE049B01025,WOCKPHARMA,828.0
INE049I01012,NAHARCAP,176.9
INE050A01025,BBTC,1423.5
INE050B01023,IVC,24.7
INE050E01027,BALAMINES,684.45
INE050H01012,RML,895.9
INE050M01012,VSSL,154.0
INE051B01021,VAKRANGEE,447.95
INE052A01021,WINDMACHIN,125.2
INE052I01032,CAMLINFINE,128.5
INE053A01029,INDHOTEL,145.6
INE054A01027,VIPIND,345.65
INE055A01016,CENTURYTEX,1405.2
INE056C01010,TATAMETALI,913.05
INE056I01017,REFEX,20.1
INE058A01010,SANOFI,4975.1
INE058B01018,ZENITHEXPO,56.75
INE059A01026,CIPLA,608.5
INE059B01024,SIMPLEXINF,610.0
INE059D01020,LAOPALA,624.5
INE060A01024,NAVNETEDUL,148.0
INE060B01014,KHANDSE,26.05
INE060J01017,FLEXITUFF,79.45
INE061A01014,INDIANCARD,191.5
INE061F01013,FORTIS,147.5
INE062A01020,SBIN,316.6
INE062D01024,ALICON,684.4
INE064C01014,TRIDENT,80.0
INE065B01013,INDLMETER,122.0
INE066A01013,EICHERMOT,27387.0
INE066O01014,WONDERLA,388.0
INE066P01011,INOXWIND,132.4
INE067A01029,CGPOWER,92.0
INE067H01016,ABGSHIP,12.6
INE068D01021,CASTEXTECH,5.5
INE068L01016,CANTABIL,117.0
INE069I01010,IBREALEST,227.5
INE070A01015,SHREECEM,17522.15
INE070C01037,COMPINFO,50.0
INE070D01027,JAICORPLTD,189.25
INE070I01018,INSECTICID,834.8
INE071A01013,BINANIIND,111.0
INE071D01033,MENONBE,117.0
INE071E01023,UGARSUGAR,23.75
INE071F01012,APCL,234.75
INE073D01013,SUNDRMBRAK,632.25
INE074A01025,PRAJIND,107.95
INE074B01023,PARACABLES,13.2
INE075A01022,WIPRO,308.95
INE075B01012,SICAL,221.9
INE075D01018,GMBREW,916.75
INE075I01017,HCG,353.8
INE076B01028,SIYSIL,700.0
INE076C01018,IFBAGRO,819.0
INE076H01025,EON,102.8
INE077A01010,DENABANK,25.4
INE077B01018,ZODJRDMKJ,48.9
INE077F01035,GOCLCORP,628.0
INE078A01026,EMCO,20.45
INE079A01024,AMBUJACEM,263.3
INE080A01014,WEIZMANIND,50.75
INE080B01012,KOHINOOR,76.75
INE081A01012,TATASTEEL,747.9
INE082A01010,KOPRAN,76.6
INE083A01026,MOREPENLAB,36.2
INE083B01016,THEMISMED,611.95
INE083C01022,PLASTIBLEN,242.9
INE083D01012,BALPHARMA,106.0
INE084A01016,BANKINDIA,162.7
INE085A01013,CHAMBLFERT,162.0
INE085J01014,THANGAMAYL,573.0
INE086A01029,ELECTCAST,34.9
INE087A01019,KESORAMIND,140.4
INE087B01017,ANIKINDS,42.8
INE087H01022,RENUKA,16.0
INE087J01010,MANDHANA,7.8
INE088B01015,NATNLSTEEL,43.0
INE089A01023,DRREDDY,2306.15
INE089C01029,STRTECH,381.0
INE090A01021,ICICIBANK,353.95
INE090B01011,OMAXAUTO,198.4
INE090C01019,STINDIA,20.0
INE091G01018,JAIBALAJI,17.1
INE092A01019,TATACHEM,722.0
INE092B01017,INDNIPPON,1136.0
INE092T01019,IDFCBANK,57.6
INE093A01033,HEXAWARE,386.0
INE093B01015,ALPSINDUS,5.35
INE093I01010,OBEROIRLTY,540.95
INE093R01011,LSIL,2.6
INE094A01015,HINDPETRO,400.65
INE094I01018,KOLTEPATIL,369.85
INE095A01012,INDUSINDBK,1761.0
INE095I01015,PPAP,590.0
INE095N01023,NBCC,229.6
INE096B01018,NUCLEUS,456.9
INE096L01025,KTIL,183.9
INE098F01023,AMRUTANJAN,605.0
INE099F01013,SREEL,272.0
INE099J01015,JPINFRATEC,15.2
INE100A01010,ATUL,2822.45
INE100D01014,WSI,7.3
INE101A01026,M&M,771.15
INE101D01020,GRANULES,133.9
INE102A01024,HOTELEELA,22.9
INE102D01028,GODREJCP,1071.95
INE102I01027,ADSL,23.2
INE103A01014,MRPL,130.0
INE105A01035,SUNCLAYLTD,4929.9
INE105C01023,PDUMJEIND,14.7
INE105I01012,SELMCL,3.1
INE105J01010,RPGLIFE,508.7
INE107A01015,TNPL,429.0
INE107F01022,WANBURY,43.0
INE108E01023,SUNDARAM,4.45
INE109A01011,SCI,82.3
INE109C01017,ARMANFIN,271.0
INE110A01019,BPL,105.7
INE110B01017,MINDTECK,78.0
INE110D01013,GUJNRECOKE,1.3
INE111A01017,CONCOR,1395.0
INE111B01023,63MOONS,109.5
INE111Q01013,PDSMFL,330.15
INE112A01023,CORPBANK,38.95
INE112F01022,LAMBODHARA,67.0
INE113A01013,GNFC,486.0
INE113O01014,BLUEBLENDS,33.7
INE114A01011,SAIL,91.35
INE115A01026,LICHSGFIN,540.1
INE116A01024,APCOTEXIND,484.0
INE116D01028,BAGFILMS,6.0
INE116G01013,VARDHACRLC,49.85
INE117A01022,ABB,1665.0
INE118A01012,BAJAJHLDNG,2815.0
INE118H01025,BSE,902.6
INE119A01028,BALRAMCHIN,125.2
INE120A01034,CARBORUNIV,382.0
INE120D01012,HITECHCORP,174.7
INE121A01016,CHOLAFIN,1324.9
INE121E01018,JSWENERGY,88.75
INE121J01017,INFRATEL,353.95
INE122M01019,ESSARSHPNG,28.9
INE122R01018,MANPASAND,392.0
INE123B01028,NAGREEKEXP,39.7
INE123C01018,TAINWALCHM,107.35
INE123F01029,MMTC,61.95
INE123W01016,SBILIFE,681.5
INE124G01033,DELTACORP,364.0
INE126A01031,EIDPARRY,337.5
INE126M01010,SORILHOLD,256.0
INE127B01011,HITECHGEAR,494.15
INE127I01024,GOODLUCK,126.35
