fund_name,scheme_name,isin
360 ONE Mutual Fund,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,INF579M01AZ6
360 ONE Mutual Fund,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,INF579M01AV5
360 ONE Mutual Fund,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,INF579M01AY9
360 ONE Mutual Fund,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,INF579M01AW3
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,INF579M01183
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Direct Plan Growth,INF579M01266
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,INF579M01282
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,INF579M01290
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Regular Plan Bonus,INF579M01191
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,INF579M01225
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,INF579M01209
360 ONE Mutual Fund,360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,INF579M01217
360 ONE Mutual Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,INF579M01AN2
360 ONE Mutual Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,INF579M01AO0
360 ONE Mutual Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,INF579M01AL6
360 ONE Mutual Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,INF579M01AM4
360 ONE Mutual Fund,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,INF579M01AS1
360 ONE Mutual Fund,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,INF579M01AT9
360 ONE Mutual Fund,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,INF579M01AP7
360 ONE Mutual Fund,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,INF579M01AQ5
360 ONE Mutual Fund,360 ONE Focused Fund - Direct Plan - Dividend,INF579M01910
