code,scheme,pfm
SM010002,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME C - TIER I,Aditya Birla Sunlife Pension Fund management Limited
SM010001,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME E - TIER I,Aditya Birla Sunlife Pension Fund management Limited
SM010003,ADITYA BIRLA SUNLIFE PENSION FUND SCHEME G - TIER I,Aditya Birla Sunlife Pension Fund management Limited
SM013002,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I,AXIS PENSION FUND MANAGEMENT LIMITED
SM013001,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I,AXIS PENSION FUND MANAGEMENT LIMITED
SM013003,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I,AXIS PENSION FUND MANAGEMENT LIMITED
SM008002,HDFC PENSION MANAGEMENT COMPANY LIMITED SCHEME C - TIER I,HDFC Pension Fund Management Limited
SM008001,HDFC PENSION MANAGEMENT COMPANY LIMITED SCHEME E - TIER I,HDFC Pension Fund Management Limited
SM008003,HDFC PENSION MANAGEMENT COMPANY LIMITED SCHEME G - TIER I,HDFC Pension Fund Management Limited
SM007002,ICICI PRUDENTIAL PENSION FUND  SCHEME C - TIER I,ICICI Prudential Pension Fund Management Co. Ltd.
SM007003,ICICI PRUDENTIAL PENSION FUND  SCHEME G - TIER I,ICICI Prudential Pension Fund Management Co. Ltd.
SM007001,ICICI PRUDENTIAL PENSION FUND SCHEME E - TIER I,ICICI Prudential Pension Fund Management Co. Ltd.
SM005002,KOTAK PENSION FUND SCHEME C - TIER I,Kotak Mahindra Pension Fund Ltd.
SM005001,KOTAK PENSION FUND SCHEME E - TIER I,Kotak Mahindra Pension Fund Ltd.
SM005003,KOTAK PENSION FUND SCHEME G - TIER I,Kotak Mahindra Pension Fund Ltd.
SM003006,LIC PENSION FUND SCHEME C - TIER I,LIC Pension Fund Ltd.
SM003005,LIC PENSION FUND SCHEME E - TIER I,LIC Pension Fund Ltd.
SM003007,LIC PENSION FUND SCHEME G - TIER I,LIC Pension Fund Ltd.
SM002028,NPS TRUST A/C - UTI PENSION FUND SCHEME C - TIER I DIRECT,UTI Pension Fund Limited.
SM002025,NPS TRUST A/C - UTI PENSION FUND SCHEME C - TIER I GS,UTI Pension Fund Limited.
SM002027,NPS TRUST A/C - UTI PENSION FUND SCHEME E - TIER I DIRECT,UTI Pension Fund Limited.
SM002024,NPS TRUST A/C - UTI PENSION FUND SCHEME E - TIER I GS,UTI Pension Fund Limited.
SM002029,NPS TRUST A/C - UTI PENSION FUND SCHEME G - TIER I DIRECT,UTI Pension Fund Limited.
