symbol,stock_name,isin
20MICRONS,20 MICRONS LTD.,INE144J01027
360ONE,360 ONE WAM LIMITED,INE466L01038
926ONE29,360OPL-9.26%-18-1-29-NCD,INE248U07ES6
961ONE27,360OPL-9.61%-18-1-27-NCD,INE248U07EW8
3BBLACKBIO,3B BlackBio Dx Limited,INE994E01018
3BFILMS,3B FILMS LIMITED,INE0TE101010
3IINFOLTD,3I INFOTECH LTD.,INE748C01038
3MINDIA,3M INDIA LTD.,INE470A01017
3PLAND,3P LAND HOLDINGS LTD.,INE105C01023
5PAISA,5paisa Capital Limited,INE618L01018
63MOONS,63 Moons Technologies Limited,INE111B01023
7NR,7NR Retail Limited,INE413X01035
7SEASL,7SEAS ENTERTAINMENT LIMITED,INE454F01010
810IRFC27,810IRFC2327,INE053F07538
830PFCL27,830PFC2027,INE134E07208
863IIFCL28,863IIFCL28,INE787H07297
871REC28,871REC28,INE020B07HS2
873IIFC29D,873IIFCL29C,INE787H07362
875IIFCL33,875IIFCL33,INE787H07313
879PFCL28,879PFC28,INE134E07448
891IIFCL34,891IIFCL34,INE787H07370
901HUDCO34,901HUDCO34,INE031A07AB2
990IFCI37D,990IFCI37D,INE039A09PP9
ABCOTS,A B Cotspin India Limited,INE08PH01015
ABINFRA,A B INFRABUILD LIMITED,INE00YB01025
A1L,A-1 LIMITED,INE911Z01025
AFEL,A.F. ENTERPRISES LTD,INE663P01015
AKCAPIT,A.K.CAPITAL SERVICES LTD.,INE701G01012
A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,INE619I01012
AAATECH,AAA TECHNOLOGIES LIMITED,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010
AADIIND,AADI INDUSTRIES LTD.,INE563D01013
AANCHALISP,Aanchal Ispat Limited,INE322R01022
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS,INE198H01019
AARNAV,AARNAV FASHIONS LIMITED,INE750R01016
AARTECH,Aartech Solonics Limited,INE01C001026
AARTIDRUGS,AARTI DRUGS LTD.,INE767A01016
AARTIIND,AARTI INDUSTRIES LTD.,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,INE09EO01013
AASTAFIN,Aastamangalam Finance Limited,INE819K01014
AASTHA,AASTHA SPINTEX LIMITED,INE2FMX01012
AAVAS,AAVAS Financiers Limited,INE216P01012
AAYUSHBULL,AAYUSH ART AND BULLION LIMITED,INE777X01017
AAYUSH,AAYUSH WELLNESS LIMITED,INE430R01023
ABAN,ABAN OFFSHORE LTD.,INE421A01028
AFSL,ABANS FINANCIAL SERVICES LIMIT,INE00ZE01026
ABATEAS,ABATE AS INDUSTRIES LIMITED,INE454E01013
ABB,ABB INDIA LIMITED,INE117A01022
ABBOTINDIA,ABBOTT INDIA LTD.,INE358A01014
ABCINDQ,ABC INDIA LTD.,INE125D01011
ALFL,Abhinav Leasing & Finance Limi,INE211D01027
ABHIFIN,Abhishek Finlease limited,INE723C01015
ABHIINFRA,Abhishek Infraventures Limited,INE281P01016
ABIRAFN,ABIRAMI FINANCIAL SERVICES (IN,INE195I01013
ABMKNO,ABM KNOWLEDGEWARE LTD.,INE850B01026
ABRFL,Abram Food Limited,INE0ZDY01011
ABRIL,ABRIL PAPER TECH LIMITED,INE15MX01014
12ACAP27A,ACAP-12%-7-11-27-PVT,INE08XP07498
1280ACAP28,ACAP-12.80%-7-5-28-PVT,INE08XP07480
12ACAP27,ACAPL-12%-11-6-27-PVT,INE08XP07431
